id;username;state;jhi_disconnect;want_to_leave;sat_out_hands;seat_number;table_rest;hand_rest;chip_in_stage;cards
1;Point Orchestrator;EMPTY;true;false;32078;50819;18651;69581;4077;Kentucky Algerian Dinar Clothing
2;open-source turn-key;EMPTY;true;false;38673;51775;93672;83771;13752;bricks-and-clicks Concrete Global
3;Fiji Dollar Profound Bacon;EMPTY;false;true;89721;55829;90041;88263;63310;B2B
4;Saint Helena Pound programming;EMPTY;false;true;16162;78534;89855;66898;60642;Tools Unbranded
5;Supervisor clear-thinking;EMPTY;true;false;65196;99445;22426;17592;71217;Networked
6;Fish;EMPTY;true;false;56830;54254;9367;50881;36771;dedicated Persevering
7;Coordinator Cambridgeshire Investor;EMPTY;true;true;49251;86416;19524;23018;72245;local Shoes
8;Intelligent Frozen Sausages Villages;EMPTY;false;true;1545;95307;92831;33075;42818;Planner Strategist
9;Incredible functionalities fuchsia;EMPTY;false;false;55680;39469;93615;84421;69602;Arkansas Intelligent Credit Card Account
10;intuitive Open-architected system-worthy;EMPTY;true;false;70248;70891;35949;55281;29359;redundant
